restaurant_name,a1_maemil,a2_mil,a3_daedu,a4_hodu,a5_ddangkong,a6_peach,a7_tomato,a8_piggogi,a9_nanryu,a10_milk,a11_ddakgogi,a12_shoigogi,a13_saewoo,a14_godeungeoh,a15_honghap,a16_junbok,a17_gul,a18_jogaeryu,a19_gye,a20_ohjingeoh,a21_ahwangsan,image,created_at,updated_at,explain
서브웨이,,,,,,,,,,,,,,,,,,,,,,,,,
맘스터치,,,,,,,,,,,,,,,,,,,,,,,,,
빕스,,,,,,,,,,,,,,,,,,,,,,,,,
커피빈,,,,,,,,,,,,,,,,,,,,,,,,,
파파이스,,,,,,,,,,,,,,,,,,,,,,,,,
배스킨라빈스,,,,,,,,,,,,,,,,,,,,,,,,,
피자스쿨,,,,,,,,,,,,,,,,,,,,,,,,,
계절밥상,,,,,,,,,,,,,,,,,,,,,,,,,
버거킹,,,,,,,,,,,,,,,,,,,,,,,,,
던킨도너츠,,,,,,,,,,,,,,,,,,,,,,,,,
스시히로바,,,,,,,,,,,,,,,,,,,,,,,,,
